Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.440332889556885,6.455078692942698,6.391280391994116,6.422878599505574,493729600
2010-01-05,6.451467037200928,6.487880327929836,6.417460888104832,6.458087781621806,601904800
2010-01-06,6.348846912384033,6.477045767122851,6.342226169002906,6.45146602403412,552160000
2010-01-07,6.337109565734863,6.37984305187511,6.291066511579937,6.372319480055896,477131200
2010-01-08,6.379238128662109,6.379840415951691,6.291365658669688,6.328680952304085,447610800
2010-01-11,6.3229660987854,6.409936173343546,6.273010388314571,6.403917316228298,462229600
2010-01-12,6.251043319702148,6.31273581891602,6.211921942817776,6.2952807265747985,594459600
2010-01-13,6.339215278625488,6.347641677883672,6.142102947856913,6.255555984254763,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.197175979614258,6.3678070063030505,6.195370322018221,6.34764382981397,594067600
2010-01-19,6.47132682800293,6.475840970783041,6.236597430330016,6.269398995820248,730007600
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800
2010-01-21,6.261573314666748,6.419264135504842,6.23569303614258,6.38224937460997,608154400
2010-01-22,5.951009750366211,6.244422252842924,5.933254922521883,6.222755167225841,881767600
2010-01-25,6.111105918884277,6.160157990546616,6.024436397148507,6.094253523041011,1065699600
2010-01-26,6.197476387023926,6.431303802197153,6.096361981140937,6.197777329930594,1867110000
2010-01-27,6.255858898162842,6.337111082500454,6.00457676256513,6.224862176641611,1722568400
2010-01-28,5.99735164642334,6.184233107244259,5.9795968248137825,6.167080171234537,1173502400
2010-01-29,5.779776096343994,6.0849253109659465,5.725306646729277,6.05122051588178,1245952400
2010-02-01,5.860126972198486,5.898345917430051,5.756905966858612,5.789106054008692,749876400
2010-02-02,5.894130706787109,5.907974075653729,5.819498900991906,5.895635822587143,698342400
2010-02-03,5.995548248291016,6.024739309087206,5.85079792134205,5.87336823804586,615328000
2010-02-04,5.779477119445801,5.969668227613342,5.765031858963543,5.920314391218215,757652000
2010-02-05,5.882094860076904,5.898345776508649,5.743363398956661,5.796930431016203,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904062747955322,5.94348505576787,5.860727781315687,5.910984031684571,632886800
2010-02-10,5.871862888336182,5.916402032892487,5.845982604178523,5.8950346865672,370361600
2010-02-11,5.978694915771484,6.011196343551841,5.839963468695428,5.864640381948894,550345600
2010-02-12,6.030156135559082,6.068074138129889,5.883299211771938,5.961843301274669,655468800
2010-02-16,6.121038913726807,6.129765856250115,6.0644628525037625,6.0771020528240065,543737600
2010-02-17,6.095458507537842,6.1484228428450285,6.044599566837009,6.144811528585121,436396800
2010-02-18,6.106893062591553,6.13578317265521,6.046404758770525,6.067770896245389,422825200
2010-02-19,6.06897497177124,6.115018420716437,6.052122575252121,6.074693287277048,415469600
2010-02-22,6.03135871887207,6.093953629779706,5.994343951639114,6.08913894570441,390563600
2010-02-23,5.9302449226379395,6.058744727114363,5.8896188369192135,6.0187201253967535,575094800
2010-02-24,6.0385823249816895,6.062055067240381,5.953717633845612,5.965454406767876,460566400
2010-02-25,6.078907012939453,6.104787296426052,5.92512882100587,5.939874619986777,665126000
2010-02-26,6.15775203704834,6.174303493267834,6.078907013299251,6.090342440678554,507460800
2010-03-01,6.289261341094971,6.304608623247241,6.182729578466092,6.191757462401463,550093600
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400
2010-03-03,6.299491882324219,6.3157427958339145,6.257662434350281,6.2877559150418,372052800
2010-03-04,6.341022491455078,6.347342292449356,6.278427572700077,6.297989263284817,366041200
2010-03-05,6.58899450302124,6.611564820029536,6.458989975276706,6.468319205714553,899620400
2010-03-08,6.592905521392822,6.623299544951842,6.5679276657418955,6.620892403858564,429889600
2010-03-09,6.711474418640137,6.771059499877591,6.55709434208007,6.56973354085879,920259200
2010-03-10,6.7662434577941895,6.785503798800632,6.716890441136493,6.735849437521882,596218000
2010-03-11,6.786106109619141,6.786106109619141,6.720502570151375,6.738258200231668,405700400
2010-03-12,6.819209098815918,6.85321443555439,6.793629358308343,6.84238049293303,416323600
2010-03-15,6.736151695251465,6.7861062055239385,6.628115207793797,6.782495694466113,493502800
2010-03-16,6.754508018493652,6.770457588790943,6.696126708957758,6.746382962806636,446908000
2010-03-17,6.744577407836914,6.814695088558323,6.718998067116694,6.768050148437816,450956800
2010-03-18,6.760525703430176,6.7710583002475655,6.699134574052002,6.743973446678471,342109600
2010-03-19,6.6883015632629395,6.778281463826486,6.657605795250324,6.764739437763981,559445600
2010-03-22,6.763535499572754,6.801152952005805,6.625105010364175,6.634735181046002,456419600
2010-03-23,6.872173309326172,6.884812908822983,6.743974068044185,6.7903184626134605,602431200
2010-03-24,6.90256929397583,6.927547152525729,6.846594718962101,6.850507378399074,597780400
2010-03-25,6.820713520050049,6.950718422822485,6.808675805834343,6.949213306752657,542284400
2010-03-26,6.948612213134766,6.980210007520138,6.877891847613057,6.889929561808852,640875200
2010-03-29,6.993451118469238,7.037989860139587,6.970279722599785,7.011809035536611,540744400
2010-03-30,7.097574710845947,7.146627995812646,7.049424656262791,7.120145023819747,527310000
2010-03-31,7.071995258331299,7.120446659551521,7.055745146620758,7.086741861041226,430659600
2010-04-01,7.101183891296387,7.184241685921557,7.004282729107601,7.144518847040459,603145200
2010-04-05,7.177022933959961,7.177624819763749,7.065074585213001,7.071394787945699,684507600
2010-04-06,7.208621978759766,7.2296871795977955,7.132184084164729,7.168296431019854,447017200
2010-04-07,7.240521430969238,7.280245094548586,7.182139305539531,7.2089228247898225,628502000
2010-04-08,7.220955848693848,7.2688045385728195,7.1634769912159655,7.235701641036974,572989200
2010-04-09,7.276331901550293,7.279342134246399,7.2363076997630795,7.265498760339351,334182800
2010-04-12,7.291377544403076,7.31485028303942,7.276932287651042,7.288668656969214,333026400
2010-04-13,7.295589923858643,7.306725211038815,7.255866271467978,7.278437386883773,306210800
2010-04-14,7.39369535446167,7.39730666847978,7.344944222388529,7.381357100025964,404076400
2010-04-15,7.4908976554870605,7.494207624777777,7.388278160861373,7.396403215364516,376784800
2010-04-16,7.445156574249268,7.557706801870208,7.359389861454872,7.480365686224217,750545600
2010-04-19,7.435225486755371,7.459901998363757,7.275728980941122,7.434021715282486,566924400
2010-04-20,7.360592842102051,7.500828996338534,7.311540362762956,7.479462455708358,738326400
2010-04-21,7.800863265991211,7.831859982136367,7.695836205437468,7.788223664501901,982391200
2010-04-22,8.01904296875,8.027469371139311,7.709981397308429,7.77137295398745,793424800
2010-04-23,8.150248527526855,8.190874607669185,8.034990226339765,8.064782363676516,796955600
2010-04-26,8.110227584838867,8.19930429508673,8.070804456727203,8.181850406043225,479068800
2010-04-27,7.885727882385254,8.060270767208896,7.839986163318328,8.043117421662314,709343600
2010-04-28,7.872486114501953,7.944709998402514,7.716300368440147,7.92214048670062,758402400
2010-04-29,8.084343910217285,8.125270530709297,7.8848232200794355,7.915217242597978,558840800
2010-04-30,7.857136249542236,8.142422802046264,7.8544281660365485,8.104504811452983,542463600
2010-05-03,8.015429496765137,8.061473352782082,7.911004332788278,7.939894847492478,454342000
2010-05-04,7.784611701965332,7.923343551359655,7.726531737490937,7.911306640243074,723819600
2010-05-05,7.703663349151611,7.768364887758736,7.485183556091306,7.614586633305555,883103200
2010-05-06,7.410550594329834,7.771673275656242,5.996150546285127,7.638659713182408,1285860800
2010-05-07,7.097873687744141,7.420176593106852,6.777377242750421,7.3341093638539885,1676018400
2010-05-10,7.64347505569458,7.66333729208933,7.479164208904621,7.530925597135193,984306400
2010-05-11,7.719607353210449,7.8210222463002745,7.538443837622527,7.578768558509831,848906800
2010-05-12,7.887230396270752,7.9185276476788005,7.785213587254537,7.801462893253,654379600
2010-05-13,7.774984359741211,7.974805654353575,7.71600034591585,7.921238613555784,599712400
2010-05-14,7.638357639312744,7.7184068449372605,7.508353518588615,7.678683185030251,759362800
2010-05-17,7.650393486022949,7.709377477452184,7.45448412230176,7.6648387419449655,762834800
2010-05-18,7.594420909881592,7.780700132014683,7.5312237089608605,7.7334533054527785,782678400
2010-05-19,7.473443508148193,7.611272117906675,7.368417266961581,7.508352074858888,1025726800
2010-05-20,7.155055046081543,7.338324846916724,7.108409299785181,7.279039499202624,1282915200
2010-05-21,7.292278289794922,7.357882201350184,6.962150927415306,7.0063883057653245,1223891200
2010-05-24,7.425895690917969,7.550483624833846,7.410849351427251,7.4415447197174895,754238800
2010-05-25,7.379553318023682,7.425896919193128,7.136998956611787,7.202903445223216,1048006400
2010-05-26,7.346147060394287,7.587498388161193,7.335313118531306,7.525806313486594,850654000
2010-05-27,7.624212741851807,7.640463656640626,7.496616180815965,7.54145546253981,666282400
2010-05-28,7.730443954467773,7.806279953467251,7.62421312621644,7.805979412378519,815614800
2010-06-01,7.849310398101807,8.003088532138612,7.7930353074290215,7.815003727089347,876472800
2010-06-02,7.943206787109375,7.96878572871434,7.834267062420856,7.9609612131663665,688548000
2010-06-03,7.918229103088379,7.991356221826189,7.836674779218719,7.980220932276076,650106800
2010-06-04,7.702754497528076,7.881509666121211,7.662730317916221,7.770464606028787,758304400
2010-06-07,7.551687717437744,7.798755790367474,7.539950543546073,7.772875506761068,886942000
2010-06-08,7.503235816955566,7.63775444586786,7.392491269193407,7.620901647832349,1000770400
2010-06-09,7.318760871887207,7.58057628370052,7.2973951386837275,7.56763534163986,854630000
2010-06-10,7.5387468338012695,7.552889942124284,7.2886685531508695,7.368115856984002,776356000
